	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
91	127378100	Rightmove	Islington	furnished	Apartment		1.0	2.0	3000.0		3000.0			Long term	furnished	2022-10-12
92	85057380	Rightmove	Camden	unfurnished	Apartment		3.0	2.0	6500.0		2166.67	2022-10-12	available	Long term	unfurnished	2022-10-12
93	127030841	Rightmove	Lambeth	furnished	Flat		2.0	1.0	1972.0		986.0			Long term	flexible	2022-10-12
94	122770118	Rightmove	Tower Hamlets	furnished	Flat		3.0	2.0	6249.0		2083.0			Long term	flexible	2022-10-12
95	127871198	Rightmove	City of Westminster	furnished	Penthouse	103.0	2.0	2.0	6500.0	63.11	3250.0	2022-10-12	available	Long term	furnished	2022-10-12
96	511725	Spotahome	Hackney	furnished	Apartment		2.0		3990.5		1995.0	2023-02-01	occupied		furnished	2022-10-12
97	127331546	Rightmove	Lambeth	unfurnished	Flat	98.0	2.0	2.0	2800.0	28.57	1400.0			Long term	unfurnished	2022-10-12
98	119200352	Rightmove	Lambeth	furnished	Apartment		2.0	2.0	4225.0		2112.5	2022-12-05	occupied	Long term	furnished	2022-10-12
99	127864232	Rightmove	Lambeth	unfurnished	Flat	43.0	2.0	1.0	2167.0	50.4	1083.5			Long term	unfurnished	2022-10-12
100	127792640	Rightmove	Hammersmith and Fulham	unfurnished	Apartment		3.0	2.0	4788.0		1596.0	2022-10-12	available	Long term	part furnished	2022-10-12
101	127298552	Rightmove	Lambeth	furnished	Flat		4.0	3.0	4000.0		1000.0			Long term	furnished	2022-10-12
102	641876	Spotahome	Camden	furnished	Studio		0.0		3176.0		3176.0	2023-12-25	occupied		furnished	2022-10-12
103	127476137	Rightmove	Tower Hamlets	furnished	Apartment		2.0	2.0	2500.0		1250.0	2022-11-02	occupied	Long term	flexible	2022-10-12
104	122296397	Rightmove	Lambeth	furnished	Apartment	60.0	1.0	1.0	4060.0	67.67	4060.0	2022-11-02	occupied	Long term	furnished	2022-10-12
105	428416	Spotahome	City of Westminster	furnished	Apartment		2.0		6066.5		3033.0	2023-01-11	occupied		furnished	2022-10-12
106	126400718	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	2.0	5995.0		2997.5	2022-10-12	available	Long term	furnished	2022-10-12
