	platform_id	platform	neighborhood	property_type	housing_type	price_pcm	title	furnished	available_from	available_from_0	available_from_1	available_from_2
96	343525	spotahome	Kensington and Chelsea	studios	Studio	2350	Studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
97	345180	spotahome	Kensington and Chelsea	studios	Studio	2300	Studio apartment for rent in South Kensington, London	furnished	12 February 2023	12	February	2023
98	642346	spotahome	Kensington and Chelsea	studios	Studio	2930	Studio apartment for rent in Notting Hill, London	furnished	3 February 2023	3	February	2023
99	605395	spotahome	Kensington and Chelsea	studios	Studio	2438	Studio Apartment for rent in Kensington and Chelsea, London	furnished	13 March 2023	13	March	2023
100	345181	spotahome	Kensington and Chelsea	studios	Studio	2600	Stylish studio flat to rent in Kensington, London	furnished	12 February 2023	12	February	2023
101	642008	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in South Kensington, London	furnished	27 February 2023	27	February	2023
102	642352	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in Notting Hill, London	furnished	26 February 2023	26	February	2023
103	642348	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio apartment for rent in Notting Hill, London	furnished	1 April 2023	1	April	2023
104	398670	spotahome	Kensington and Chelsea	studios	Studio	4981	Studio apartment for rent in Earl's Court, London	furnished	2 December	2	December	
105	726585	spotahome	Kensington and Chelsea	studios	Studio	1400	Studio apartment for rent in Kensington And Chelsea, London	furnished	1 June 2023	1	June	2023
106	695372	spotahome	Kensington and Chelsea	studios	Studio	1400	Studio apartment for rent in Kensington And Chelsea, London	furnished	10 June 2023	10	June	2023
107	605393	spotahome	Kensington and Chelsea	studios	Studio	2438	Studio Apartment for rent in Kensington and Chelsea, London	furnished	26 May 2023	26	May	2023
108	828757	spotahome	Kensington and Chelsea	studios	Studio	2700	Studio for rent in London	furnished	5 October 2023	5	October	2023
109	605396	spotahome	Kensington and Chelsea	studios	Studio	2930	Studio Apartment for rent in Kensington and Chelsea, London	furnished	25 June 2023	25	June	2023
110	605394	spotahome	Kensington and Chelsea	studios	Studio	2191	Studio Apartment for rent in Kensington and Chelsea, London	furnished	29 June 2023	29	June	2023
111	642051	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio apartment for rent in South Kensington, London	furnished	1 August 2023	1	August	2023
112	642354	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio apartment for rent in Notting Hill, London	furnished	26 November 2023	26	November	2023
113	642045	spotahome	Kensington and Chelsea	studios	Studio	3422	Studio apartment for rent in South Kensington, London	furnished	1 December 2023	1	December	2023
114	605391	spotahome	Kensington and Chelsea	studios	Studio	2684	Studio Apartment for rent in Kensington and Chelsea, London	furnished	17 June 2023	17	June	2023
115	642350	spotahome	Kensington and Chelsea	studios	Studio	2930	Studio apartment for rent in Notting Hill, London	furnished	8 April 2024	8	April	2024
116	385936	spotahome	Kensington and Chelsea	studios	Studio	4286	Unique studio apartment to rent in Chelsea, London	furnished	4 October 2024	4	October	2024
117	642047	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in South Kensington, London	furnished	9 November 2023	9	November	2023
118	378830	spotahome	Kensington and Chelsea	studios	Studio	2600	Studio flat to rent in Earl's Court, London	furnished	2 December 2023	2	December	2023
119	652375	spotahome	Kensington and Chelsea	studios	Studio	2600	The Lovely Longridge Road Apartment	furnished	8 August 2024	8	August	2024
120	642009	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in South Kensington, London	furnished	29 October 2023	29	October	2023
121	642012	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in South Kensington, London	furnished	20 November 2023	20	November	2023
122	598023	spotahome	Kensington and Chelsea	studios	Studio	4611	Studio Apartment for rent in Earl's Court, London	furnished	22 August 2023	22	August	2023
123	761470	spotahome	City of Westminster	studios	Studio	2100	Studio for rent in a co-living building in Notting Hill	furnished	9 October	9	October	
124	744155	spotahome	City of Westminster	studios	Studio	1450	Studio for rent in West Kilburn, London	furnished	2 December	2	December	
125	818635	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in London	furnished	1 November	1	November	
126	818634	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in London	furnished	4 November	4	November	
127	472167	spotahome	City of Westminster	studios	Studio	2725	Studio apartment for rent in Paddington, London	furnished	23 December	23	December	
128	689203	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in Marylebone, London	furnished	30 November	30	November	
129	689198	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in Marylebone, London	furnished	25 December	25	December	
130	818636	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in London	furnished	16 December	16	December	
131	641825	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	18 December	18	December	
132	595739	spotahome	City of Westminster	studios	Studio	2650	Studio apartment in Paddington, London	furnished	24 November	24	November	
133	781160	spotahome	City of Westminster	studios	Studio	4000	Studio for rent in Soho, London	furnished	22 October	22	October	
134	765150	spotahome	City of Westminster	studios	Studio	3360	Studio for rent in Bayswater, London	furnished	15 November	15	November	
135	641785	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	31 October	31	October	
136	641831	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	20 December	20	December	
137	477498	spotahome	City of Westminster	studios	Studio	2850	Studio apartment for rent in London	furnished	22 November	22	November	
138	641783	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in Marylebone, London	furnished	10 December	10	December	
139	415019	spotahome	City of Westminster	studios	Studio	2650	Cosy studio apartment to rent in Bayswater, London	furnished	18 December	18	December	
140	689199	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in Marylebone, London	furnished	17 December	17	December	
141	442727	spotahome	City of Westminster	studios	Studio	1500	Studio in London	furnished	1 February 2023	1	February	2023
142	438864	spotahome	City of Westminster	studios	Studio	2660	Studio apartment for rent in Paddington, London	furnished	1 December	1	December	
143	641808	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	1 January 2023	1	January	2023
144	641807	spotahome	City of Westminster	studios	Studio	4900	Studio apartment for rent in Marylebone, London	furnished	17 December	17	December	
145	641784	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	12 November	12	November	
146	641789	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	27 October	27	October	
147	841531	spotahome	City of Westminster	studios	Studio	5490	Whole 1 bedrooms apartment in London	furnished	1 November	1	November	
148	641832	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	2 January 2023	2	January	2023
149	818632	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in London	furnished	5 December	5	December	
150	641795	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	16 November	16	November	
151	638603	spotahome	City of Westminster	studios	Studio	1550	Studio apartment in Queen's Park, London	furnished	21 January 2023	21	January	2023
152	641829	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	17 December	17	December	
153	641841	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	31 December	31	December	
154	641794	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	4 December	4	December	
155	450601	spotahome	City of Westminster	studios	Studio	10700	Studio in London	furnished	1 January 2023	1	January	2023
156	641826	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	3 November	3	November	
157	641830	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	21 January 2023	21	January	2023
158	441364	spotahome	City of Westminster	studios	Studio	2250	1-Bedroom Studio in Bayswater, London	furnished	1 February 2023	1	February	2023
159	818639	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in London	furnished	18 February 2023	18	February	2023
160	641797	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	9 January 2023	9	January	2023
161	575684	spotahome	City of Westminster	studios	Studio	3360	Studio apartment for rent in Paddington, London	furnished	29 January 2023	29	January	2023
162	641845	spotahome	City of Westminster	studios	Studio	4900	Studio apartment for rent in Marylebone, London	furnished	30 January 2023	30	January	2023
163	641719	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	17 December	17	December	
164	641833	spotahome	City of Westminster	studios	Studio	4900	Studio apartment for rent in Marylebone, London	furnished	18 February 2023	18	February	2023
165	641840	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in Marylebone, London	furnished	19 March 2023	19	March	2023
166	346230	spotahome	City of Westminster	studios	Studio	2250	Studio flat to rent in City of Westminster, London	furnished	4 March 2023	4	March	2023
167	389838	spotahome	City of Westminster	studios	Studio	1644	Studio Apartment for rent in Westminster, London	furnished	5 June 2023	5	June	2023
168	612043	spotahome	City of Westminster	studios	Studio	2250	Studio for rent in Paddington, London	furnished	20 December 2023	20	December	2023
169	523297	spotahome	City of Westminster	studios	Studio	1400	Studio Apartment for rent in West Kilburn, London	furnished	13 December 2023	13	December	2023
170	577148	spotahome	City of Westminster	studios	Studio	2250	Studio in London	furnished	5 October 2023	5	October	2023
171	449633	spotahome	City of Westminster	studios	Studio	3000	1-Bedroom Studio in Paddington, London	furnished	23 September 2023	23	September	2023
172	466238	spotahome	City of Westminster	studios	Studio	2613	1-bedroom Studio in Bayswater, London	furnished	9 September 2023	9	September	2023
173	689202	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in Marylebone, London	furnished	26 August 2023	26	August	2023
174	459608	spotahome	City of Westminster	studios	Studio	2250	1-Bedroom Studio in Bayswater, London	furnished	9 October 2023	9	October	2023
175	473633	spotahome	City of Westminster	studios	Studio	2250	Studio in London	furnished	19 November 2023	19	November	2023
