	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
303	128234828	Rightmove	Lambeth	furnished	Flat		1.0	1.0	2097.0		2097.0	2022-12-22	occupied	Long term	furnished	2022-10-27
304	641818	Spotahome	City of Westminster	furnished	Apartment		1.0		5884.0		5884.0	2023-02-10	occupied		furnished	2022-10-27
305	128333306	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	2.0	11700.0		5850.0	2022-10-28	available	Long term	furnished	2022-10-27
306	124445429	Rightmove	Tower Hamlets	unfurnished	Apartment		2.0	2.0	6067.0		3033.5		occupied	Long term	unfurnished	2022-10-27
307	128432435	Rightmove	Hammersmith and Fulham	unfurnished	Apartment		2.0	2.0	2535.0		1267.5	2022-11-26	occupied	Long term	unfurnished	2022-10-27
308	128161448	Rightmove	Lambeth	furnished	Flat	64.0	2.0	1.0	2232.0	34.88	1116.0		occupied	Long term	furnished	2022-10-27
309	128051030	Rightmove	Hackney	unfurnished	Penthouse		3.0	3.0	5750.0		1916.67	2022-11-06	occupied	Long term	unfurnished	2022-10-27
310	113399984	Rightmove	Camden	unfurnished	Apartment		3.0	2.0	3250.0		1083.33	2022-11-30	occupied	Long term	unfurnished	2022-10-27
311	128144147	Rightmove	City of Westminster	furnished	Flat		2.0	2.0	8233.0		4116.5		occupied	Long term	furnished	2022-10-27
312	127561763	Rightmove	Kensington and Chelsea	furnished	Flat		3.0	2.0	7367.0		2455.67		occupied	Long term	furnished	2022-10-27
313	128286371	Rightmove	Islington	unfurnished	Flat	73.0	2.0	2.0	3250.0	44.52	1625.0		occupied	Long term	unfurnished	2022-10-27
314	128189867	Rightmove	Hackney	furnished	Apartment		1.0	1.0	1825.0		1825.0	2022-10-28	available	Long term	furnished	2022-10-27
315	127411559	Rightmove	Camden	furnished	Apartment		3.0	3.0	5200.0		1733.33	2022-10-28	available	Long term	furnished	2022-10-27
